,rssi.242,rssi.94,rssi.h,rssi.245,outcome
421,-69,-92,-64,-76,6
422,-66,-87,-58,-68,6
423,-65,-84,-61,-70,6
424,-68,-87,-61,-79,6
425,-66,-94,-70,-80,6
426,-75,-81,-65,-73,6
427,-71,-92,-67,-75,6
428,-70,-86,-63,-76,6
429,-68,-84,-62,-78,6
430,-66,-83,-61,-76,6
431,-68,-83,-62,-83,6
432,-69,-85,-70,-75,6
433,-69,-79,-64,-74,6
434,-75,-81,-63,-78,6
435,-80,-82,-62,-81,6
436,-70,-85,-63,-81,6
437,-72,-85,-64,-69,6
438,-73,-86,-68,-70,6
439,-71,-85,-68,-75,6
440,-71,-90,-64,-75,6
441,-71,-87,-64,-83,6
442,-79,-87,-61,-75,6
443,-65,-86,-67,-76,6
444,-63,-94,-67,-76,6
445,-69,-86,-62,-81,6
446,-64,-79,-60,-79,6
447,-64,-79,-65,-71,6
448,-64,-79,-60,-79,6
449,-64,-79,-70,-77,6
450,-62,-81,-60,-76,6
451,-66,-79,-70,-80,6
452,-71,-79,-60,-72,6
453,-73,-79,-60,-74,6
454,-73,-81,-61,-77,6
455,-62,-79,-73,-69,7
456,-64,-84,-67,-70,7
457,-68,-91,-69,-79,7
458,-68,-85,-72,-74,7
459,-61,-82,-69,-72,7
460,-71,-79,-77,-75,7
461,-64,-78,-73,-74,7
462,-64,-79,-84,-70,7
463,-74,-88,-71,-78,7
464,-66,-89,-75,-80,7
465,-70,-84,-72,-76,7
466,-66,-87,-73,-78,7
467,-69,-86,-70,-80,7
468,-63,-90,-71,-79,7
469,-71,-82,-72,-83,7
470,-63,-92,-69,-82,7
471,-68,-85,-71,-83,7
472,-65,-88,-65,-72,7
473,-70,-84,-71,-73,7
474,-67,-84,-70,-74,7
475,-65,-79,-69,-78,7
476,-72,-80,-69,-81,7
477,-66,-80,-68,-73,7
478,-65,-81,-70,-78,7
479,-64,-83,-62,-75,7
480,-67,-89,-67,-78,7
481,-69,-81,-65,-78,7
482,-67,-85,-69,-78,7
483,-67,-78,-64,-77,7
484,-67,-77,-67,-76,7
485,-65,-84,-63,-75,7
486,-68,-80,-65,-79,7
487,-62,-80,-68,-82,7
488,-69,-85,-62,-71,7
489,-65,-78,-66,-82,7
490,-65,-77,-65,-78,7
491,-65,-82,-64,-74,7
492,-65,-82,-65,-76,7
493,-71,-77,-65,-77,7
494,-78,-76,-73,-68,7
495,-66,-79,-72,-73,7
496,-63,-78,-67,-73,7
497,-66,-81,-66,-71,7
498,-67,-80,-69,-75,7
499,-70,-83,-74,-69,7
500,-72,-79,-65,-72,7
501,-74,-82,-70,-67,7
502,-62,-87,-81,-66,7
503,-65,-85,-63,-67,7
504,-67,-76,-71,-72,7
505,-65,-81,-65,-64,7
506,-63,-83,-69,-65,7
507,-64,-81,-71,-81,7
508,-64,-93,-69,-72,7
509,-70,-76,-69,-69,7
510,-75,-90,-71,-72,7
511,-68,-90,-68,-73,7
512,-80,-86,-72,-74,7
513,-76,-84,-71,-70,7
514,-76,-84,-72,-70,7
515,-70,-82,-73,-69,7
516,-72,-92,-70,-69,7
517,-71,-84,-68,-70,7
518,-74,-84,-70,-70,7
519,-64,-88,-68,-69,7
520,-70,-84,-76,-79,7
521,-64,-84,-65,-78,7
522,-69,-86,-63,-74,7
523,-65,-87,-65,-75,7
524,-66,-83,-64,-74,7
525,-66,-96,-64,-75,7
526,-68,-88,-63,-78,7
527,-66,-90,-63,-76,7
528,-73,-82,-75,-75,8
529,-76,-80,-75,-75,8
530,-75,-81,-74,-75,8
531,-77,-80,-75,-75,8
532,-75,-81,-74,-75,8
533,-80,-80,-75,-75,8
534,-84,-81,-75,-75,8
535,-75,-81,-74,-76,8
536,-74,-80,-74,-74,8
537,-75,-81,-73,-75,8
538,-74,-80,-74,-75,8
539,-75,-81,-74,-75,8
540,-75,-81,-73,-75,8
541,-74,-81,-75,-75,8
542,-74,-80,-76,-76,8
543,-73,-81,-75,-75,8
544,-73,-80,-74,-74,8
545,-75,-82,-74,-75,8
546,-74,-81,-73,-74,8
547,-74,-82,-73,-74,8
548,-74,-82,-74,-74,8
549,-75,-80,-74,-75,8
550,-74,-80,-75,-74,8
551,-74,-81,-74,-75,8
552,-74,-81,-74,-75,8
553,-73,-81,-74,-75,8
554,-75,-81,-75,-78,8
555,-83,-81,-74,-76,8
556,-73,-82,-75,-76,8
557,-75,-83,-76,-75,8
558,-74,-85,-74,-74,8
559,-74,-81,-75,-74,8
560,-74,-80,-75,-75,8
561,-74,-82,-74,-74,8
562,-74,-82,-74,-75,8
563,-74,-81,-75,-74,8
564,-74,-81,-75,-75,8
565,-73,-82,-75,-75,8
566,-74,-82,-75,-74,8
567,-73,-81,-75,-76,8
568,-74,-81,-76,-75,8
569,-73,-81,-74,-76,8
570,-74,-81,-74,-75,8
571,-74,-82,-75,-75,8
572,-73,-83,-76,-75,8
573,-73,-83,-76,-76,8
574,-74,-81,-76,-76,8
575,-75,-81,-75,-75,8
576,-74,-82,-75,-74,8
577,-74,-82,-76,-75,8
578,-75,-81,-76,-76,8
579,-74,-82,-75,-75,8
580,-73,-84,-75,-75,8
581,-73,-81,-74,-74,8
582,-74,-83,-76,-75,8
583,-74,-81,-76,-75,8
584,-74,-81,-77,-76,8
585,-74,-82,-75,-76,8
586,-74,-82,-75,-76,8
587,-74,-81,-75,-75,8
588,-74,-81,-75,-75,8
589,-74,-81,-76,-75,8
590,-74,-82,-75,-74,8
591,-73,-81,-76,-75,8
592,-74,-81,-76,-75,8
593,-73,-83,-75,-75,8
594,-73,-81,-75,-74,8
595,-73,-82,-79,-75,8
596,-73,-81,-78,-74,8
597,-73,-84,-78,-75,8
598,-73,-81,-77,-76,8
599,-73,-81,-77,-75,8
600,-73,-81,-77,-74,8
601,-73,-81,-77,-75,8
602,-73,-80,-76,-75,8
603,-66,-76,-82,-87,9
604,-65,-78,-88,-88,9
605,-66,-77,-89,-90,9
606,-65,-77,-86,-88,9
607,-65,-77,-89,-88,9
608,-66,-77,-88,-88,9
609,-66,-76,-88,-86,9
610,-67,-78,-90,-86,9
611,-66,-77,-89,-86,9
612,-66,-76,-90,-88,9
613,-65,-76,-91,-85,9
614,-65,-76,-90,-90,9
615,-66,-76,-91,-90,9
616,-66,-77,-89,-87,9
617,-66,-76,-89,-88,9
618,-65,-77,-88,-87,9
619,-66,-77,-89,-87,9
620,-65,-79,-89,-87,9
621,-67,-77,-90,-88,9
622,-65,-77,-90,-84,9
623,-66,-77,-87,-85,9
624,-65,-77,-88,-86,9
625,-66,-77,-87,-87,9
626,-67,-76,-87,-88,9
627,-65,-77,-88,-85,9
628,-66,-77,-88,-85,9
629,-66,-78,-90,-86,9
630,-68,-78,-88,-85,9
631,-65,-76,-87,-85,9
632,-67,-76,-85,-86,9
633,-65,-78,-85,-85,9
634,-65,-77,-86,-87,9
635,-66,-76,-84,-85,9
636,-63,-76,-86,-88,9
637,-66,-76,-89,-86,9
638,-66,-77,-86,-88,9
639,-66,-75,-89,-88,9
640,-66,-76,-88,-86,9
641,-66,-76,-88,-87,9
